Station,Year,Month,Monthly Rainfall
Dhaka,2012,4,269
Dhaka,2012,5,137
Dhaka,2012,6,175
Dhaka,2012,7,226
Dhaka,2012,8,282
Dhaka,2012,9,81
Dhaka,2012,10,38
Dhaka,2012,11,68
Dhaka,2012,12,5
Dhaka,2013,1,0
Dhaka,2013,2,8
Dhaka,2013,3,26
Dhaka,2013,4,32
Dhaka,2013,5,378
Dhaka,2013,6,325
Dhaka,2013,7,302
Dhaka,2013,8,212
Dhaka,2013,9,172
Dhaka,2013,10,131
Dhaka,2013,11,0
Dhaka,2013,12,4
Dhaka,2014,1,0
Dhaka,2014,2,12
Dhaka,2014,3,10
Dhaka,2014,4,80
Dhaka,2014,5,147
Dhaka,2014,6,342
Dhaka,2014,7,212
Dhaka,2014,8,391
Dhaka,2014,9,156
Dhaka,2014,10,49
Dhaka,2014,11,0
Dhaka,2014,12,0
Dhaka,2015,1,3
Dhaka,2015,2,17
Dhaka,2015,3,4
Dhaka,2015,4,166
Dhaka,2015,5,185
Dhaka,2015,6,375
